Language , Program , Input Size , Package , Core(s) , GPU , DRAM? , Time (sec)
C, bubblesort_25000, 25000, 34.263306 , 18.202637 , 0.009460 , 0.000000 ,  1.41063 
C, bubblesort_25000, 25000, 34.312378 , 18.119568 , 0.016357 , 0.000000 ,  1.41792 
C, bubblesort_25000, 25000, 33.975342 , 17.898010 , 0.009399 , 0.000000 ,  1.41 
C, bubblesort_25000, 25000, 33.964905 , 17.936340 , 0.013977 , 0.000000 ,  1.40344 
C, bubblesort_25000, 25000, 34.315552 , 18.155518 , 0.010132 , 0.000000 ,  1.41673 
C, cyclesort_25000, 25000, 34.939880 , 18.502808 , 0.012085 , 0.000000 ,  1.43996 
C, cyclesort_25000, 25000, 34.659363 , 18.207275 , 0.016296 , 0.000000 ,  1.43981 
C, cyclesort_25000, 25000, 34.827454 , 18.456543 , 0.011963 , 0.000000 ,  1.43516 
C, cyclesort_25000, 25000, 34.899292 , 18.525391 , 0.016113 , 0.000000 ,  1.43394 
C, cyclesort_25000, 25000, 35.121826 , 18.520752 , 0.006287 , 0.000000 ,  1.45604 
C, heapsort_25000, 25000, 0.109863 , 0.062500 , 0.000000 , 0.000000 ,  0.004327 
C, heapsort_25000, 25000, 0.114380 , 0.055176 , 0.000000 , 0.000000 ,  0.004281 
C, heapsort_25000, 25000, 0.101135 , 0.058594 , 0.000000 , 0.000000 ,  0.004316 
C, heapsort_25000, 25000, 0.097717 , 0.056213 , 0.000000 , 0.000000 ,  0.004071 
C, heapsort_25000, 25000, 0.125427 , 0.057678 , 0.000000 , 0.000000 ,  0.004256 
C, insertionsort_25000, 25000, 1.382874 , 0.708557 , 0.009277 , 0.000000 ,  0.059602 
C, insertionsort_25000, 25000, 1.560791 , 0.833069 , 0.005493 , 0.000000 ,  0.061106 
C, insertionsort_25000, 25000, 1.843018 , 0.982117 , 0.000000 , 0.000000 ,  0.075018 
C, insertionsort_25000, 25000, 1.404297 , 0.733826 , 0.004395 , 0.000000 ,  0.059064 
C, insertionsort_25000, 25000, 1.397522 , 0.760986 , 0.000000 , 0.000000 ,  0.055925 
C, mergesort_25000, 25000, 0.143616 , 0.067688 , 0.007507 , 0.000000 ,  0.006045 
C, mergesort_25000, 25000, 0.127380 , 0.054810 , 0.001099 , 0.000000 ,  0.005668 
C, mergesort_25000, 25000, 0.125671 , 0.052246 , 0.000000 , 0.000000 ,  0.005331 
C, mergesort_25000, 25000, 0.112488 , 0.062256 , 0.000000 , 0.000000 ,  0.005182 
C, mergesort_25000, 25000, 0.157410 , 0.085022 , 0.000000 , 0.000000 ,  0.005895 
C, oddevensort_25000, 25000, 13.229309 , 7.118042 , 0.009155 , 0.000000 ,  0.534705 
C, oddevensort_25000, 25000, 13.087158 , 6.979553 , 0.006958 , 0.000000 ,  0.533794 
C, oddevensort_25000, 25000, 13.070007 , 7.007874 , 0.000000 , 0.000000 ,  0.531421 
C, oddevensort_25000, 25000, 12.905762 , 6.849854 , 0.009644 , 0.000000 ,  0.528522 
C, oddevensort_25000, 25000, 13.250366 , 7.117859 , 0.005188 , 0.000000 ,  0.53844 
C, quicksort_25000, 25000, 0.176025 , 0.076233 , 0.007751 , 0.000000 ,  0.006302 
C, quicksort_25000, 25000, 0.122742 , 0.081238 , 0.000305 , 0.000000 ,  0.005261 
C, quicksort_25000, 25000, 0.119751 , 0.047668 , 0.001038 , 0.000000 ,  0.006175 
C, quicksort_25000, 25000, 0.093018 , 0.037964 , 0.000122 , 0.000000 ,  0.005134 
C, quicksort_25000, 25000, 0.112732 , 0.051575 , 0.000000 , 0.000000 ,  0.004349 
C, selectionsort_25000, 25000, 4.564758 , 2.433167 , 0.017029 , 0.000000 ,  0.184271 
C, selectionsort_25000, 25000, 4.380798 , 2.350342 , 0.000000 , 0.000000 ,  0.179638 
C, selectionsort_25000, 25000, 4.758911 , 2.582458 , 0.000000 , 0.000000 ,  0.190904 
C, selectionsort_25000, 25000, 4.765442 , 2.590271 , 0.000000 , 0.000000 ,  0.191008 
C, selectionsort_25000, 25000, 4.785156 , 2.549927 , 0.002075 , 0.000000 ,  0.194362 
C++, bubblesort_25000, 25000, 34.627869 , 18.331116 , 0.032166 , 0.000000 ,  1.42461 
C++, bubblesort_25000, 25000, 34.662048 , 18.306030 , 0.011292 , 0.000000 ,  1.43226 
C++, bubblesort_25000, 25000, 34.376892 , 18.149658 , 0.017944 , 0.000000 ,  1.42172 
C++, bubblesort_25000, 25000, 34.806763 , 18.683838 , 0.009644 , 0.000000 ,  1.41393 
C++, bubblesort_25000, 25000, 34.399597 , 18.125977 , 0.011536 , 0.000000 ,  1.42591 
C++, cyclesort_25000, 25000, 37.688721 , 19.815063 , 0.026001 , 0.000000 ,  1.5631 
C++, cyclesort_25000, 25000, 37.347107 , 19.592163 , 0.020264 , 0.000000 ,  1.5539 
C++, cyclesort_25000, 25000, 37.347229 , 19.614258 , 0.007385 , 0.000000 ,  1.55631 
C++, cyclesort_25000, 25000, 38.029724 , 20.013611 , 0.019531 , 0.000000 ,  1.5765 
C++, cyclesort_25000, 25000, 37.569824 , 19.780029 , 0.010010 , 0.000000 ,  1.55813 
C++, heapsort_25000, 25000, 0.201538 , 0.096375 , 0.008606 , 0.000000 ,  0.007757 
C++, heapsort_25000, 25000, 0.167725 , 0.085815 , 0.000061 , 0.000000 ,  0.007086 
C++, heapsort_25000, 25000, 0.140991 , 0.077820 , 0.001221 , 0.000000 ,  0.00606 
C++, heapsort_25000, 25000, 0.180603 , 0.094849 , 0.000000 , 0.000000 ,  0.006915 
C++, heapsort_25000, 25000, 0.118347 , 0.061157 , 0.000000 , 0.000000 ,  0.00491 
C++, insertionsort_25000, 25000, 1.665161 , 0.861389 , 0.009766 , 0.000000 ,  0.070621 
C++, insertionsort_25000, 25000, 1.738281 , 0.930237 , 0.004395 , 0.000000 ,  0.069766 
C++, insertionsort_25000, 25000, 2.169861 , 1.113647 , 0.000000 , 0.000000 ,  0.09151 
C++, insertionsort_25000, 25000, 1.681580 , 0.899109 , 0.000000 , 0.000000 ,  0.067075 
C++, insertionsort_25000, 25000, 1.644958 , 0.900269 , 0.000000 , 0.000000 ,  0.066221 
C++, mergesort_25000, 25000, 0.223206 , 0.110596 , 0.009338 , 0.000000 ,  0.009196 
C++, mergesort_25000, 25000, 0.200195 , 0.117310 , 0.000244 , 0.000000 ,  0.008833 
C++, mergesort_25000, 25000, 0.221741 , 0.118225 , 0.001343 , 0.000000 ,  0.00887 
C++, mergesort_25000, 25000, 0.197815 , 0.086731 , 0.000000 , 0.000000 ,  0.009865 
C++, mergesort_25000, 25000, 0.209961 , 0.093262 , 0.000000 , 0.000000 ,  0.009997 
C++, oddevensort_25000, 25000, 12.407532 , 6.557800 , 0.011902 , 0.000000 ,  0.510703 
C++, oddevensort_25000, 25000, 12.249023 , 6.566040 , 0.006958 , 0.000000 ,  0.498205 
C++, oddevensort_25000, 25000, 12.499084 , 6.744995 , 0.002441 , 0.000000 ,  0.506516 
C++, oddevensort_25000, 25000, 12.420532 , 6.666443 , 0.006836 , 0.000000 ,  0.504431 
C++, oddevensort_25000, 25000, 12.325256 , 6.612793 , 0.000000 , 0.000000 ,  0.502173 
C++, quicksort_25000, 25000, 0.120544 , 0.067566 , 0.000000 , 0.000000 ,  0.005258 
C++, quicksort_25000, 25000, 0.126282 , 0.070923 , 0.000000 , 0.000000 ,  0.004909 
C++, quicksort_25000, 25000, 0.120605 , 0.065552 , 0.000000 , 0.000000 ,  0.005012 
C++, quicksort_25000, 25000, 0.110840 , 0.055786 , 0.000000 , 0.000000 ,  0.00518 
C++, quicksort_25000, 25000, 0.135010 , 0.061523 , 0.000000 , 0.000000 ,  0.005197 
C++, selectionsort_25000, 25000, 4.839417 , 2.531006 , 0.015564 , 0.000000 ,  0.199582 
C++, selectionsort_25000, 25000, 4.494324 , 2.403931 , 0.000000 , 0.000000 ,  0.184122 
C++, selectionsort_25000, 25000, 4.497437 , 2.444458 , 0.000000 , 0.000000 ,  0.181096 
C++, selectionsort_25000, 25000, 4.791016 , 2.612976 , 0.000000 , 0.000000 ,  0.192438 
C++, selectionsort_25000, 25000, 4.843689 , 2.543396 , 0.010376 , 0.000000 ,  0.199711 
C#, bubblesort_25000.sh, 25000, 41.073364 , 21.930542 , 0.037720 , 0.000000 ,  1.67507 
C#, bubblesort_25000.sh, 25000, 41.010376 , 21.997192 , 0.015015 , 0.000000 ,  1.66685 
C#, bubblesort_25000.sh, 25000, 41.054077 , 22.018127 , 0.012634 , 0.000000 ,  1.66871 
C#, bubblesort_25000.sh, 25000, 40.794922 , 21.899597 , 0.016296 , 0.000000 ,  1.65604 
C#, bubblesort_25000.sh, 25000, 40.891846 , 21.947998 , 0.016479 , 0.000000 ,  1.6596 
C#, cyclesort_25000.sh, 25000, 61.592102 , 33.006836 , 0.019348 , 0.000000 ,  2.50583 
C#, cyclesort_25000.sh, 25000, 61.609436 , 33.049316 , 0.015198 , 0.000000 ,  2.50485 
C#, cyclesort_25000.sh, 25000, 62.525452 , 33.587524 , 0.020935 , 0.000000 ,  2.5356 
C#, cyclesort_25000.sh, 25000, 61.813293 , 33.168457 , 0.026367 , 0.000000 ,  2.51019 
C#, cyclesort_25000.sh, 25000, 62.383606 , 33.478455 , 0.016418 , 0.000000 ,  2.53512 
C#, heapsort_25000.sh, 25000, 0.624573 , 0.339478 , 0.002808 , 0.000000 ,  0.025251 
C#, heapsort_25000.sh, 25000, 0.614380 , 0.288757 , 0.004089 , 0.000000 ,  0.028006 
C#, heapsort_25000.sh, 25000, 0.611145 , 0.327209 , 0.000000 , 0.000000 ,  0.024768 
C#, heapsort_25000.sh, 25000, 0.655762 , 0.342651 , 0.001221 , 0.000000 ,  0.026918 
C#, heapsort_25000.sh, 25000, 0.782532 , 0.398621 , 0.001160 , 0.000000 ,  0.032733 
C#, insertionsort_25000.sh, 25000, 9.705322 , 5.184509 , 0.008972 , 0.000000 ,  0.395018 
C#, insertionsort_25000.sh, 25000, 10.035706 , 5.369385 , 0.002075 , 0.000000 ,  0.408634 
C#, insertionsort_25000.sh, 25000, 9.736023 , 5.237549 , 0.012573 , 0.000000 ,  0.392964 
C#, insertionsort_25000.sh, 25000, 9.843384 , 5.292236 , 0.000000 , 0.000000 ,  0.398363 
C#, insertionsort_25000.sh, 25000, 10.115723 , 5.404907 , 0.008423 , 0.000000 ,  0.412024 
C#, mergesort_25000.sh, 25000, 0.676331 , 0.329956 , 0.012634 , 0.000000 ,  0.027196 
C#, mergesort_25000.sh, 25000, 0.605408 , 0.306458 , 0.000000 , 0.000000 ,  0.025831 
C#, mergesort_25000.sh, 25000, 0.577698 , 0.299988 , 0.000000 , 0.000000 ,  0.025705 
C#, mergesort_25000.sh, 25000, 0.582092 , 0.305054 , 0.000000 , 0.000000 ,  0.025768 
C#, mergesort_25000.sh, 25000, 0.729492 , 0.387207 , 0.000000 , 0.000000 ,  0.030243 
C#, oddevensort_25000.sh, 25000, 28.766846 , 15.441956 , 0.023804 , 0.000000 ,  1.1664 
C#, oddevensort_25000.sh, 25000, 29.073853 , 15.795715 , 0.003845 , 0.000000 ,  1.16442 
C#, oddevensort_25000.sh, 25000, 28.634644 , 15.321594 , 0.007141 , 0.000000 ,  1.16662 
C#, oddevensort_25000.sh, 25000, 28.836426 , 15.541199 , 0.013794 , 0.000000 ,  1.16479 
C#, oddevensort_25000.sh, 25000, 28.787109 , 15.431335 , 0.011536 , 0.000000 ,  1.17005 
C#, quicksort_25000.sh, 25000, 0.572815 , 0.222717 , 0.010193 , 0.000000 ,  0.028696 
C#, quicksort_25000.sh, 25000, 0.537231 , 0.230957 , 0.000000 , 0.000000 ,  0.027284 
C#, quicksort_25000.sh, 25000, 0.532959 , 0.277588 , 0.000000 , 0.000000 ,  0.023675 
C#, quicksort_25000.sh, 25000, 0.576721 , 0.307556 , 0.000000 , 0.000000 ,  0.024029 
C#, quicksort_25000.sh, 25000, 0.761658 , 0.360229 , 0.000000 , 0.000000 ,  0.033535 
C#, selectionsort_25000.sh, 25000, 10.846313 , 5.807495 , 0.009277 , 0.000000 ,  0.44288 
C#, selectionsort_25000.sh, 25000, 11.192261 , 6.033569 , 0.004883 , 0.000000 ,  0.452005 
C#, selectionsort_25000.sh, 25000, 10.899658 , 5.836182 , 0.000000 , 0.000000 ,  0.443894 
C#, selectionsort_25000.sh, 25000, 10.939209 , 5.848083 , 0.007385 , 0.000000 ,  0.446172 
C#, selectionsort_25000.sh, 25000, 11.154236 , 5.989807 , 0.001282 , 0.000000 ,  0.453272 
Go, bubblesort_25000, 25000, 19.827637 , 10.606262 , 0.009460 , 0.000000 ,  0.808311 
Go, bubblesort_25000, 25000, 20.180908 , 10.787354 , 0.006836 , 0.000000 ,  0.822828 
Go, bubblesort_25000, 25000, 20.317383 , 10.898743 , 0.004517 , 0.000000 ,  0.827606 
Go, bubblesort_25000, 25000, 19.763733 , 10.612488 , 0.002869 , 0.000000 ,  0.801024 
Go, bubblesort_25000, 25000, 20.266235 , 10.887085 , 0.008545 , 0.000000 ,  0.822165 
Go, cyclesort_25000, 25000, 34.112732 , 18.067383 , 0.029968 , 0.000000 ,  1.40266 
Go, cyclesort_25000, 25000, 34.348267 , 18.350464 , 0.013916 , 0.000000 ,  1.40212 
Go, cyclesort_25000, 25000, 34.473877 , 18.435120 , 0.014404 , 0.000000 ,  1.40618 
Go, cyclesort_25000, 25000, 34.456299 , 18.343262 , 0.018005 , 0.000000 ,  1.41007 
Go, cyclesort_25000, 25000, 34.239075 , 18.358582 , 0.008728 , 0.000000 ,  1.39308 
Go, heapsort_25000, 25000, 0.208496 , 0.115845 , 0.007690 , 0.000000 ,  0.008712 
Go, heapsort_25000, 25000, 0.140015 , 0.077209 , 0.000488 , 0.000000 ,  0.006307 
Go, heapsort_25000, 25000, 0.153076 , 0.086792 , 0.001465 , 0.000000 ,  0.005984 
Go, heapsort_25000, 25000, 0.147339 , 0.076965 , 0.000122 , 0.000000 ,  0.005952 
Go, heapsort_25000, 25000, 0.153503 , 0.087524 , 0.000000 , 0.000000 ,  0.006081 
Go, insertionsort_25000, 25000, 2.219360 , 1.069702 , 0.014832 , 0.000000 ,  0.098993 
Go, insertionsort_25000, 25000, 2.830933 , 1.486206 , 0.000000 , 0.000000 ,  0.116505 
Go, insertionsort_25000, 25000, 2.219360 , 1.201233 , 0.000000 , 0.000000 ,  0.088482 
Go, insertionsort_25000, 25000, 2.590759 , 1.370300 , 0.008911 , 0.000000 ,  0.106127 
Go, insertionsort_25000, 25000, 2.435730 , 1.281677 , 0.000000 , 0.000000 ,  0.101115 
Go, mergesort_25000, 25000, 0.207092 , 0.107971 , 0.009583 , 0.000000 ,  0.00809 
Go, mergesort_25000, 25000, 0.171692 , 0.092041 , 0.001221 , 0.000000 ,  0.006941 
Go, mergesort_25000, 25000, 0.161621 , 0.076782 , 0.000244 , 0.000000 ,  0.006497 
Go, mergesort_25000, 25000, 0.165527 , 0.079895 , 0.000000 , 0.000000 ,  0.006617 
Go, mergesort_25000, 25000, 0.156250 , 0.076721 , 0.000000 , 0.000000 ,  0.006981 
Go, oddevensort_25000, 25000, 11.585388 , 6.179932 , 0.009155 , 0.000000 ,  0.472559 
Go, oddevensort_25000, 25000, 11.443604 , 6.194336 , 0.006592 , 0.000000 ,  0.458989 
Go, oddevensort_25000, 25000, 11.328857 , 6.112122 , 0.000000 , 0.000000 ,  0.457717 
Go, oddevensort_25000, 25000, 11.419678 , 6.125244 , 0.009827 , 0.000000 ,  0.461474 
Go, oddevensort_25000, 25000, 11.041321 , 5.940491 , 0.000000 , 0.000000 ,  0.448207 
Go, quicksort_25000, 25000, 0.213806 , 0.107422 , 0.007690 , 0.000000 ,  0.007982 
Go, quicksort_25000, 25000, 0.131958 , 0.070068 , 0.000000 , 0.000000 ,  0.006287 
Go, quicksort_25000, 25000, 0.192261 , 0.104858 , 0.001282 , 0.000000 ,  0.006527 
Go, quicksort_25000, 25000, 0.139954 , 0.077148 , 0.000000 , 0.000000 ,  0.006151 
Go, quicksort_25000, 25000, 0.188843 , 0.112061 , 0.000000 , 0.000000 ,  0.007255 
Go, selectionsort_25000, 25000, 9.158081 , 4.869568 , 0.024841 , 0.000000 ,  0.371897 
Go, selectionsort_25000, 25000, 9.313416 , 5.012451 , 0.002625 , 0.000000 ,  0.377111 
Go, selectionsort_25000, 25000, 8.777588 , 4.713135 , 0.002625 , 0.000000 ,  0.358173 
