Language , Program , Input Size , Package , Core(s) , GPU , DRAM? , Memory (KB), Time (sec)
C, bubblesort_25000.sh, 25000, 2.486145 , 1.185303 , 0.089722 , 0.000000 , 38432, 0.103396 
C, cyclesort_25000.sh, 25000, 2.774719 , 1.273682 , 0.040527 , 0.000000 , 38456, 0.126602 
C, heapsort_25000.sh, 25000, 2.406372 , 1.197510 , 0.035583 , 0.000000 , 37228, 0.099023 
C, insertionsort_25000.sh, 25000, 2.607605 , 1.090698 , 0.141296 , 0.000000 , 37544, 0.117035 
C, mergesort_25000.sh, 25000, 2.927551 , 1.469421 , 0.037415 , 0.000000 , 39556, 0.12174 
C, oddevensort_25000.sh, 25000, 2.581055 , 1.292297 , 0.035583 , 0.000000 , 38508, 0.106724 
C, quicksort_25000.sh, 25000, 2.829590 , 1.385864 , 0.045105 , 0.000000 , 38184, 0.118055 
C, selectionsort_25000.sh, 25000, 2.539612 , 1.252930 , 0.042908 , 0.000000 , 38044, 0.105628 
C++, bubblesort_25000.sh, 25000, 24.720947 , 7.209595 , 0.048401 , 0.000000 , 84940, 1.50803 
C++, cyclesort_25000.sh, 25000, 11.838379 , 6.212219 , 0.041931 , 0.000000 , 85132, 0.481971 
C++, heapsort_25000.sh, 25000, 11.685547 , 6.079834 , 0.050720 , 0.000000 , 85064, 0.477156 
C++, insertionsort_25000.sh, 25000, 11.422363 , 5.925903 , 0.034485 , 0.000000 , 84984, 0.470927 
C++, mergesort_25000.sh, 25000, 12.629578 , 6.446106 , 0.118835 , 0.000000 , 87020, 0.523897 
C++, oddevensort_25000.sh, 25000, 11.836426 , 6.205139 , 0.044800 , 0.000000 , 85420, 0.482218 
C++, quicksort_25000.sh, 25000, 11.638855 , 5.863037 , 0.137695 , 0.000000 , 84764, 0.48673 
C++, selectionsort_25000.sh, 25000, 11.696716 , 6.136841 , 0.046387 , 0.000000 , 85168, 0.476127 
