Algorithm,Language,Size,Package,Core(s),GPU,Time(sec)
bubblesort,C,25000,2.644745,1.171397,0.028412000000000003,0.12418266666666666
bubblesort,C,50000,3.8444111666666667,1.6356811666666669,0.017181,0.1902355
bubblesort,C,100000,5.242228333333333,2.5695599999999996,0.019592333333333333,0.23099066666666668
bubblesort,C#,25000,14.863667833333333,7.074463000000001,0.024515833333333334,0.6755851666666667
bubblesort,C#,50000,13.620453,7.299621666666667,0.006896833333333334,0.55177
bubblesort,C#,100000,15.068115,8.003926666666667,0.017435666666666665,0.6154146666666667
bubblesort,C++,25000,28.1776125,8.274292,0.05802383333333333,1.7229105
bubblesort,C++,50000,12.755452499999999,6.710195,0.021047,0.5251408333333333
bubblesort,C++,100000,15.654581666666667,8.288188,0.027160666666666666,0.6389429999999999
bubblesort,Go,25000,11.011281333333335,2.855926666666667,0.0199585,0.7040091666666667
bubblesort,Go,50000,3.8403726666666667,1.8382771666666666,0.003947,0.173239
bubblesort,Go,100000,4.03892,1.7942506666666667,0.011820666666666667,0.19132799999999997
bubblesort,Haskell,25000,326.05244966666663,164.12625133333333,0.1747133333333333,13.838149999999999
bubblesort,Haskell,50000,615.1801451666666,324.2017211666667,0.24740616666666668,24.90405
bubblesort,Haskell,100000,1210.060425,637.598958,0.4516193333333334,48.977066666666666
bubblesort,Rust,25000,237.67822233333334,123.42738866666667,0.12584416666666667,9.846995
bubblesort,Rust,50000,474.93181350000003,252.49329633333332,0.18351233333333336,19.212950000000003
bubblesort,Rust,100000,1007.130249,535.4019774999999,0.37487800000000004,40.77315
bubblesort,Swift,25000,348.6183571666666,183.42302433333336,0.12684133333333333,14.385716666666667
bubblesort,Swift,50000,1205.1456911666667,645.3571371666667,0.40529366666666666,48.85958333333334
bubblesort,Swift,100000,317.9615785,162.742859,0.1325685,13.34285
cyclesort,C,25000,2.6419881666666667,1.2043763333333335,0.04850283333333333,0.12090266666666666
cyclesort,C,50000,3.501993666666667,1.8117675,0.017191666666666664,0.14517916666666666
cyclesort,C,100000,5.421610333333334,2.806722,0.022176333333333336,0.22524166666666667
cyclesort,C#,25000,13.138264666666666,6.9181825,0.0159505,0.5403896666666667
cyclesort,C#,50000,13.875020333333334,7.341542666666666,0.01563516666666667,0.5690721666666666
cyclesort,C#,100000,15.094075666666667,8.041178333333333,0.005249,0.6173823333333334
cyclesort,C++,25000,11.859690166666667,6.239329000000001,0.027455666666666666,0.485038
cyclesort,C++,50000,13.092468166666668,7.001434499999999,0.020121,0.5287516666666666
cyclesort,C++,100000,15.860718,8.473246333333334,0.017659666666666667,0.64339
cyclesort,Go,25000,3.4230346666666667,1.5454506666666668,0.030660000000000003,0.15881783333333332
