Language , Program , Input Size , Package , Core(s) , GPU , DRAM? , Memory (KB) , Time (sec)
C, bubblesort_25000, 25000, 33.747070 , 17.810547 , 0.031250 , 0.000000 , 3584, 1.39537 
C, bubblesort_25000, 25000, 33.727234 , 17.794983 , 0.012756 , 0.000000 , 3584, 1.39557 
C, bubblesort_25000, 25000, 34.031189 , 17.943176 , 0.009094 , 0.000000 , 3584, 1.41106 
C, bubblesort_25000, 25000, 34.242920 , 18.149597 , 0.018188 , 0.000000 , 3584, 1.40853 
C, bubblesort_25000, 25000, 34.042664 , 18.058411 , 0.011230 , 0.000000 , 3712, 1.4008 
C, cyclesort_25000, 25000, 34.417419 , 18.122070 , 0.017090 , 0.000000 , 3648, 1.42809 
C, cyclesort_25000, 25000, 34.935059 , 18.599182 , 0.028137 , 0.000000 , 3648, 1.43014 
C, cyclesort_25000, 25000, 34.773254 , 18.432373 , 0.011597 , 0.000000 , 3712, 1.43165 
C, cyclesort_25000, 25000, 34.593018 , 18.331177 , 0.014526 , 0.000000 , 3712, 1.42435 
C, cyclesort_25000, 25000, 34.967896 , 18.476257 , 0.009583 , 0.000000 , 3712, 1.44716 
C, heapsort_25000, 25000, 0.137634 , 0.065979 , 0.000000 , 0.000000 , 3712, 0.005487 
C, heapsort_25000, 25000, 0.192017 , 0.096069 , 0.004944 , 0.000000 , 3712, 0.006586 
C, heapsort_25000, 25000, 0.140137 , 0.070496 , 0.004272 , 0.000000 , 3712, 0.00614 
C, heapsort_25000, 25000, 0.181641 , 0.086670 , 0.004456 , 0.000000 , 3712, 0.006251 
C, heapsort_25000, 25000, 0.163879 , 0.081299 , 0.004089 , 0.000000 , 3712, 0.00718 
C, insertionsort_25000, 25000, 1.661560 , 0.862671 , 0.009399 , 0.000000 , 3520, 0.069132 
C, insertionsort_25000, 25000, 1.397583 , 0.707764 , 0.006958 , 0.000000 , 3584, 0.060119 
C, insertionsort_25000, 25000, 1.390381 , 0.730957 , 0.006714 , 0.000000 , 3584, 0.05679 
C, insertionsort_25000, 25000, 1.874817 , 0.986511 , 0.010681 , 0.000000 , 3584, 0.076179 
C, insertionsort_25000, 25000, 1.580139 , 0.809387 , 0.012573 , 0.000000 , 3584, 0.065985 
C, mergesort_25000, 25000, 0.130615 , 0.071777 , 0.005249 , 0.000000 , 3584, 0.005654 
C, mergesort_25000, 25000, 0.119080 , 0.063843 , 0.002258 , 0.000000 , 3584, 0.005313 
C, mergesort_25000, 25000, 0.114685 , 0.065857 , 0.001953 , 0.000000 , 3584, 0.005391 
C, mergesort_25000, 25000, 0.122742 , 0.067383 , 0.004395 , 0.000000 , 3584, 0.005622 
C, mergesort_25000, 25000, 0.125854 , 0.068054 , 0.004211 , 0.000000 , 3584, 0.005245 
C, oddevensort_25000, 25000, 12.813171 , 6.763062 , 0.010437 , 0.000000 , 3456, 0.529097 
C, oddevensort_25000, 25000, 13.141968 , 7.094788 , 0.013611 , 0.000000 , 3712, 0.527964 
C, oddevensort_25000, 25000, 13.364929 , 7.150757 , 0.012146 , 0.000000 , 3712, 0.542077 
C, oddevensort_25000, 25000, 12.865967 , 6.862671 , 0.012268 , 0.000000 , 3712, 0.525225 
C, oddevensort_25000, 25000, 12.713745 , 6.703247 , 0.000000 , 0.000000 , 3712, 0.529422 
C, quicksort_25000, 25000, 0.153870 , 0.063782 , 0.008240 , 0.000000 , 3648, 0.005452 
C, quicksort_25000, 25000, 0.148987 , 0.065491 , 0.004944 , 0.000000 , 3648, 0.005211 
C, quicksort_25000, 25000, 0.122253 , 0.060669 , 0.000427 , 0.000000 , 3648, 0.004467 
C, quicksort_25000, 25000, 0.121643 , 0.053467 , 0.004578 , 0.000000 , 3648, 0.005032 
C, quicksort_25000, 25000, 0.122498 , 0.064514 , 0.003418 , 0.000000 , 3712, 0.00502 
C, selectionsort_25000, 25000, 4.692566 , 2.443542 , 0.009705 , 0.000000 , 3456, 0.194305 
C, selectionsort_25000, 25000, 4.832214 , 2.565674 , 0.014587 , 0.000000 , 3584, 0.196986 
C, selectionsort_25000, 25000, 4.789856 , 2.521790 , 0.009949 , 0.000000 , 3712, 0.196771 
C, selectionsort_25000, 25000, 4.471863 , 2.370667 , 0.006897 , 0.000000 , 3712, 0.184383 
C, selectionsort_25000, 25000, 4.430603 , 2.346375 , 0.005981 , 0.000000 , 3712, 0.180283 
C++, bubblesort_25000, 25000, 34.127747 , 17.899292 , 0.028564 , 0.000000 , 3912, 1.4219 
C++, bubblesort_25000, 25000, 34.257935 , 17.927795 , 0.010376 , 0.000000 , 3912, 1.42914 
C++, bubblesort_25000, 25000, 34.370972 , 18.095886 , 0.025391 , 0.000000 , 3912, 1.42524 
C++, bubblesort_25000, 25000, 34.300720 , 18.080811 , 0.015381 , 0.000000 , 3912, 1.42081 
C++, bubblesort_25000, 25000, 34.477783 , 18.145447 , 0.032349 , 0.000000 , 3912, 1.42783 
C++, cyclesort_25000, 25000, 37.651672 , 19.663574 , 0.026672 , 0.000000 , 3840, 1.57327 
C++, cyclesort_25000, 25000, 37.058777 , 19.417603 , 0.027832 , 0.000000 , 3840, 1.54398 
C++, cyclesort_25000, 25000, 37.786804 , 19.914429 , 0.027771 , 0.000000 , 3840, 1.56563 
C++, cyclesort_25000, 25000, 37.060181 , 19.375305 , 0.027954 , 0.000000 , 3912, 1.5481 
C++, cyclesort_25000, 25000, 37.429749 , 19.754944 , 0.023438 , 0.000000 , 3912, 1.54857 
C++, heapsort_25000, 25000, 0.197388 , 0.091492 , 0.005554 , 0.000000 , 3840, 0.007696 
C++, heapsort_25000, 25000, 0.172668 , 0.086914 , 0.004211 , 0.000000 , 3912, 0.00685 
C++, heapsort_25000, 25000, 0.173279 , 0.091858 , 0.004578 , 0.000000 , 3912, 0.007454 
C++, heapsort_25000, 25000, 0.180786 , 0.097778 , 0.004456 , 0.000000 , 3912, 0.006882 
C++, heapsort_25000, 25000, 0.167419 , 0.060242 , 0.004456 , 0.000000 , 3912, 0.007915 
C++, insertionsort_25000, 25000, 1.696045 , 0.765137 , 0.010620 , 0.000000 , 3840, 0.079439 
C++, insertionsort_25000, 25000, 1.813110 , 0.970642 , 0.012756 , 0.000000 , 3840, 0.072149 
C++, insertionsort_25000, 25000, 2.161743 , 1.137878 , 0.011780 , 0.000000 , 3840, 0.087633 
C++, insertionsort_25000, 25000, 1.665100 , 0.897339 , 0.007446 , 0.000000 , 3840, 0.067398 
C++, insertionsort_25000, 25000, 1.677612 , 0.885559 , 0.007385 , 0.000000 , 3840, 0.067641 
C++, mergesort_25000, 25000, 0.224121 , 0.125610 , 0.008362 , 0.000000 , 3912, 0.009511 
C++, mergesort_25000, 25000, 0.243164 , 0.108643 , 0.004578 , 0.000000 , 3912, 0.009451 
C++, mergesort_25000, 25000, 0.226929 , 0.118225 , 0.004456 , 0.000000 , 3912, 0.009273 
C++, mergesort_25000, 25000, 0.238037 , 0.127014 , 0.004700 , 0.000000 , 3912, 0.008501 
C++, mergesort_25000, 25000, 0.260864 , 0.130005 , 0.004517 , 0.000000 , 3912, 0.011322 
C++, oddevensort_25000, 25000, 12.175537 , 6.504456 , 0.012268 , 0.000000 , 3840, 0.494621 
C++, oddevensort_25000, 25000, 12.342224 , 6.577148 , 0.020630 , 0.000000 , 3912, 0.501507 
C++, oddevensort_25000, 25000, 12.241882 , 6.573425 , 0.000000 , 0.000000 , 3912, 0.498047 
C++, oddevensort_25000, 25000, 12.150635 , 6.416992 , 0.020874 , 0.000000 , 3912, 0.500094 
C++, oddevensort_25000, 25000, 12.165527 , 6.497803 , 0.013428 , 0.000000 , 3912, 0.496028 
C++, quicksort_25000, 25000, 0.171570 , 0.073975 , 0.007996 , 0.000000 , 3656, 0.006827 
C++, quicksort_25000, 25000, 0.133911 , 0.061218 , 0.003662 , 0.000000 , 3840, 0.005951 
C++, quicksort_25000, 25000, 0.128601 , 0.060852 , 0.001587 , 0.000000 , 3912, 0.005937 
C++, quicksort_25000, 25000, 0.159424 , 0.060303 , 0.003723 , 0.000000 , 3912, 0.006105 
C++, quicksort_25000, 25000, 0.140320 , 0.064941 , 0.004456 , 0.000000 , 3912, 0.006211 
C++, selectionsort_25000, 25000, 4.783142 , 2.461670 , 0.012451 , 0.000000 , 3656, 0.200652 
C++, selectionsort_25000, 25000, 4.831360 , 2.570923 , 0.014893 , 0.000000 , 3784, 0.195766 
C++, selectionsort_25000, 25000, 4.725708 , 2.512024 , 0.007446 , 0.000000 , 3840, 0.193256 
C++, selectionsort_25000, 25000, 4.317261 , 2.293518 , 0.006104 , 0.000000 , 3912, 0.177077 
C++, selectionsort_25000, 25000, 4.707092 , 2.501648 , 0.005981 , 0.000000 , 3912, 0.191937 
