Algorithm,Language,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
bubblesort,C,25000,2.371144333333333,1.1122438333333333,0.031036499999999998,38.434,0.10594583333333334
bubblesort,C,50000,3.2215473333333335,1.5652873333333333,0.017629,42.97466666666667,0.14229816666666667
bubblesort,C,100000,5.081192,2.5390165,0.0193635,51.924,0.21975625
bubblesort,C#,25000,18.038676166666665,7.5110675,0.03646866666666666,65.98533333333333,0.9112708333333334
bubblesort,C#,50000,13.387542833333333,7.165323666666667,0.008799166666666665,69.29066666666667,0.5428613333333333
bubblesort,C#,100000,15.069905666666665,8.005371333333335,0.014933333333333333,71.47866666666665,0.6152856666666667
bubblesort,C++,25000,13.533172333333333,6.174845666666667,0.044331666666666665,85.498,0.634598
bubblesort,C++,50000,12.339477666666667,6.532023166666666,0.0178425,98.94733333333333,0.5045946666666666
bubblesort,C++,100000,15.066955499999999,7.915161250000001,0.02133175,115.769,0.621846
bubblesort,Go,25000,7.1519775,1.9807024999999998,0.018931,55.888,0.4444323333333333
bubblesort,Go,50000,3.498168833333333,1.6452840000000002,0.008585500000000001,57.400666666666666,0.15846566666666667
bubblesort,Go,100000,3.824158,1.8461916666666667,0.010823333333333332,57.702666666666666,0.168466
bubblesort,Haskell,25000,309.81977316666666,160.35781866666667,0.15027866666666667,631.3246666666668,12.75035
bubblesort,Haskell,50000,606.9073995,319.66895566666665,0.2352803333333333,1104.6133333333335,24.57813333333333
bubblesort,Haskell,100000,1210.4226886666668,637.3250326666666,0.4210206666666667,1794.7106666666666,49.0152
bubblesort,Rust,25000,236.08355716666665,123.0969545,0.11524466666666666,1082.4726666666668,9.735541666666666
bubblesort,Rust,50000,480.3368528333333,255.58530683333333,0.18873083333333332,2173.6406666666667,19.422183333333333
bubblesort,Rust,100000,945.489095,502.0168253333333,0.35943600000000003,4323.858666666667,38.289966666666665
bubblesort,Swift,25000,347.04623399999997,183.66577166666664,0.14010633333333333,143.98133333333334,14.196783333333334
bubblesort,Swift,50000,1195.4991659999998,640.3479613333334,0.3776346666666666,220.2073333333333,48.502266666666664
bubblesort,Swift,100000,316.50140366666665,161.75728333333333,0.13405333333333333,366.7546666666667,13.303066666666666
cyclesort,C,25000,2.6650695,1.3244223333333334,0.024841333333333337,38.56066666666667,0.1134765
cyclesort,C,50000,3.5479331666666667,1.8502606666666666,0.0196025,43.358000000000004,0.1449195
cyclesort,C,100000,5.44241325,2.85714725,0.01965325,52.525,0.22322475
cyclesort,C#,25000,12.904551166666666,6.895161833333333,0.026845333333333332,66.41733333333333,0.520853
cyclesort,C#,50000,13.710652833333333,7.3454690000000005,0.019307500000000002,69.37266666666666,0.5531638333333334
cyclesort,C#,100000,15.103515666666667,8.050293,0.012654666666666668,71.50666666666666,0.6142696666666666
cyclesort,C++,25000,11.572947333333333,6.121632833333333,0.025288833333333333,85.68666666666667,0.47078
