Algorithm,Language,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
bubblesort,C,25000,33.2069092,14.117138800000001,0.0203002,3.6096000000000004,1.673094
bubblesort,C,50000,136.477722,58.06915300000001,0.0567872,3.5328000000000004,6.877454
bubblesort,C,100000,552.0127686,234.7676024,0.1988768,3.5968000000000004,27.82788
bubblesort,C#,25000,39.710132,16.9109988,0.022900399999999998,22.16,1.998904
bubblesort,C#,50000,162.407019,69.2061888,0.0647462,21.628,8.173918
bubblesort,C#,100000,661.8943359,319.6623107,0.232489,22.0864,30.00999
bubblesort,C++,25000,33.701830799999996,14.2950562,0.0240846,3.8543999999999996,1.6990760000000003
bubblesort,C++,50000,138.1506104,58.7440308,0.0578002,4.0847999999999995,6.964346000000001
bubblesort,C++,100000,556.8281618,237.051355,0.19660640000000001,4.3864,28.046780000000002
bubblesort,Go,25000,19.5458984,8.285009800000001,0.0190674,3.7120000000000006,0.9854974000000001
bubblesort,Go,50000,82.9709592,35.343628,0.0379762,3.5072,4.176482
bubblesort,Go,100000,346.2861328,147.5443114,0.13002940000000002,5.8712,17.43266
bubblesort,Haskell,25000,0.12829600000000002,0.044201599999999994,0.0041748,6.208,0.006608
bubblesort,Haskell,50000,0.163806,0.0575928,0.005652,9.1008,0.0084628
bubblesort,Haskell,100000,0.26634539999999995,0.10499259999999999,0.0062254,16.4304,0.013318199999999999
bubblesort,Python,25000,575.255762,245.628137,0.1949218,32.568,28.898719999999997
bubblesort,Python,50000,2364.7463502,1008.5921142,0.7399538,51.5312,118.80059999999999
bubblesort,Python,100000,9744.2657226,4146.375232,3.1025514000000003,93.708,489.596
bubblesort,Rust,25000,20.466418400000002,8.6910276,0.015429599999999998,3.6480000000000006,1.0315400000000001
bubblesort,Rust,50000,93.4587038,39.8214844,0.0406248,3.5576,4.704688
bubblesort,Rust,100000,383.5387084,163.3083006,0.1354248,3.7120000000000006,19.3139
bubblesort,Swift,25000,32.0921264,13.6579468,0.0243654,10.5672,1.6153
bubblesort,Swift,50000,131.8168212,56.224462800000005,0.05771459999999999,11.02,6.631026
bubblesort,Swift,100000,537.8919922,229.5180054,0.1861696,11.6496,27.05394
cyclesort,C,25000,33.7273804,14.312073000000002,0.022534000000000002,3.7120000000000006,1.701116
cyclesort,C,50000,135.1589232,57.473327600000005,0.0562254,3.6864000000000003,6.813694
cyclesort,C,100000,539.8397826,229.78646239999998,0.188611,3.5712,27.202019999999997
cyclesort,C#,25000,59.8185424,25.4649048,0.0322144,21.730399999999996,3.012312
cyclesort,C#,50000,237.8465822,101.2955446,0.0878294,21.1216,11.9757
cyclesort,C#,100000,959.3046386,461.56443479999996,0.3221801,21.9768,43.6434
cyclesort,C++,25000,36.4139404,15.452246400000002,0.021228,3.8024,1.836986
cyclesort,C++,50000,145.0183958,61.6088012,0.060986399999999996,3.9671999999999996,7.31341
cyclesort,C++,100000,579.0615844,246.09250459999998,0.19899879999999998,4.4128,29.2038
cyclesort,Go,25000,33.2301636,14.11676,0.019519,3.6096000000000004,1.674744
cyclesort,Go,50000,133.7242554,56.905139199999994,0.05777600000000001,3.6608000000000005,6.736118
cyclesort,Go,100000,532.9087036,226.53751219999998,0.1925414,4.5792,26.86378
cyclesort,Haskell,25000,224.04439699999998,95.09705819999999,0.0817504,11.494399999999999,11.24934
cyclesort,Haskell,50000,1028.1430418,434.63648679999994,0.3442016,14.515200000000002,51.63168
cyclesort,Haskell,100000,4778.6128908,2010.2914305999998,1.5611938,20.6464,239.9988
cyclesort,Python,25000,871.427881,371.903418,0.30723880000000003,32.8016,43.78958
cyclesort,Python,50000,3629.61416,1547.4118532,1.1699708000000002,51.6016,182.3912
cyclesort,Python,100000,15342.688796999999,6505.844452,4.6783445,93.744,770.9839999999999
cyclesort,Rust,25000,5.5601684,2.3584228,0.010913,3.7120000000000006,0.279297
cyclesort,Rust,50000,22.108728,9.4282106,0.013794,3.5456000000000003,1.11098
cyclesort,Rust,100000,91.80175799999999,39.144970799999996,0.0417724,3.6736000000000004,4.617004
cyclesort,Swift,25000,39.9755616,17.018872199999997,0.020166,10.635200000000001,2.012362
cyclesort,Swift,50000,160.7881714,68.4576416,0.06843239999999999,10.984,8.096096
cyclesort,Swift,100000,641.0237548,273.3470582,0.2270142,11.7144,32.26214
heapsort,C,25000,0.1918946,0.07041,0.0071778,3.5456000000000003,0.009287
heapsort,C,50000,0.21638159999999998,0.0831422,0.0054568,3.6472,0.0105004
heapsort,C,100000,0.2720094,0.0913576,0.0057374,3.5328000000000004,0.0147422
heapsort,C#,25000,0.7089964,0.2785156,0.006543,20.7144,0.036879
heapsort,C#,50000,0.777112,0.3105836,0.006640399999999999,19.8856,0.039722
heapsort,C#,100000,1.0813415000000002,0.4766969,0.0078859,22.255599999999998,0.051915699999999995
heapsort,C++,25000,0.1969238,0.0678834,0.0053346,3.8848,0.0104506
heapsort,C++,50000,0.2068726,0.07816160000000001,0.0053954,4.1536,0.010612
heapsort,C++,100000,0.3168456,0.1274782,0.0063717999999999995,4.408,0.0161716
heapsort,Go,25000,0.1581298,0.058667000000000004,0.005005,3.7120000000000006,0.008233599999999999
heapsort,Go,50000,0.2691652,0.1002928,0.005652,3.7120000000000006,0.013952200000000001
heapsort,Go,100000,0.47048300000000004,0.1828614,0.008093,5.872,0.0245896
heapsort,Haskell,25000,0.10561519999999999,0.0364014,0.0049562,3.5712,0.0055861999999999995
heapsort,Haskell,50000,0.0938232,0.0383424,0.0032711999999999997,3.7120000000000006,0.0046348
heapsort,Haskell,100000,0.0868528,0.0333862,0.0033201999999999997,3.4816000000000003,0.0046018000000000005
heapsort,Python,25000,3.2000121999999998,1.3108644,0.0090452,32.812,0.16345300000000001
heapsort,Python,50000,5.9651978,2.511487,0.0093018,51.58480000000001,0.3000136
heapsort,Python,100000,12.277771,5.0875366,0.026501399999999998,93.74159999999999,0.6182596
heapsort,Rust,25000,0.2035158,0.0767334,0.0052736,3.5832,0.010723
heapsort,Rust,50000,0.21813980000000002,0.0832886,0.005188,3.7120000000000006,0.0111736
heapsort,Rust,100000,0.5148436000000001,0.20393080000000002,0.0081298,3.7120000000000006,0.0261604
heapsort,Swift,25000,0.25054919999999997,0.09749719999999999,0.005359,10.8096,0.012746200000000003
heapsort,Swift,50000,0.3084594,0.1084474,0.0059204,11.3368,0.0168218
heapsort,Swift,100000,0.5197754,0.210913,0.0063842,12.6464,0.0263866
insertionsort,C,25000,1.4881838,0.6213622,0.0064944,3.6864000000000003,0.07522100000000001
insertionsort,C,50000,5.7757933999999995,2.4219604,0.008202999999999998,3.5168,0.293397
insertionsort,C,100000,23.196044800000003,9.8780518,0.0189574,3.6608000000000005,1.1661959999999998
