Language,Algorithm,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
C,bubblesort,25000,33.230042,14.070740,0.026306,3.456,1.6782
C,bubblesort,25000,32.832642,13.995972,0.012390,3.584,1.65151
C,bubblesort,25000,33.422180,14.187439,0.025208,3.584,1.68346
C,bubblesort,25000,33.519714,14.265869,0.014465,3.712,1.68882
C,bubblesort,25000,33.029968,14.065674,0.023132,3.712,1.66348
C,cyclesort,25000,33.653748,14.223145,0.028442,3.712,1.7009
C,cyclesort,25000,33.914307,14.398743,0.019104,3.712,1.71147
C,cyclesort,25000,33.839355,14.389771,0.012573,3.712,1.70553
C,cyclesort,25000,33.659790,14.302551,0.031433,3.712,1.69378
C,cyclesort,25000,33.569702,14.246155,0.021118,3.712,1.6939
C,heapsort,25000,0.217041,0.075012,0.010132,3.392,0.010494
C,heapsort,25000,0.180481,0.063904,0.011047,3.584,0.009063
C,heapsort,25000,0.178650,0.066528,0.004456,3.584,0.008752
C,heapsort,25000,0.163086,0.064209,0.004578,3.584,0.007656
C,heapsort,25000,0.220215,0.082397,0.005676,3.584,0.01047
C,insertionsort,25000,1.535828,0.618835,0.008118,3.584,0.07805
C,insertionsort,25000,1.297974,0.549744,0.006287,3.712,0.065305
C,insertionsort,25000,1.541504,0.659973,0.006104,3.712,0.077673
C,insertionsort,25000,1.742920,0.733215,0.005859,3.712,0.088208
C,insertionsort,25000,1.322693,0.545044,0.006104,3.712,0.066869
C,mergesort,25000,0.154358,0.050171,0.007629,3.712,0.007725
C,mergesort,25000,0.130310,0.044189,0.004028,3.712,0.006742
C,mergesort,25000,0.131165,0.045288,0.004639,3.712,0.006843
C,mergesort,25000,0.118042,0.047668,0.005188,3.712,0.006458
C,mergesort,25000,0.129333,0.042725,0.003723,3.712,0.006561
C,oddevensort,25000,12.910217,5.456116,0.016724,3.456,0.650757
C,oddevensort,25000,12.328979,5.253113,0.002197,3.584,0.620367
C,oddevensort,25000,12.915710,5.516541,0.012512,3.584,0.647106
C,oddevensort,25000,12.372192,5.231506,0.020447,3.648,0.622592
C,oddevensort,25000,12.855591,5.457886,0.014771,3.648,0.648435
C,quicksort,25000,0.136047,0.048828,0.007141,3.456,0.007041
C,quicksort,25000,0.135437,0.041992,0.004211,3.712,0.006153
C,quicksort,25000,0.116089,0.042847,0.004578,3.712,0.00605
C,quicksort,25000,0.114563,0.041504,0.004822,3.712,0.00625
C,quicksort,25000,0.109619,0.038696,0.001648,3.712,0.005768
C,selectionsort,25000,4.603638,1.926086,0.008179,3.584,0.232502
C,selectionsort,25000,4.603394,1.946289,0.009399,3.584,0.232282
C,selectionsort,25000,4.622864,1.942749,0.010193,3.584,0.232328
C,selectionsort,25000,4.549072,1.933899,0.007935,3.584,0.229364
C,selectionsort,25000,4.570557,1.933533,0.005920,3.584,0.231483
C++,bubblesort,25000,33.745361,14.300232,0.027893,3.84,1.70242
C++,bubblesort,25000,33.456543,14.170288,0.027466,3.84,1.68912
C++,bubblesort,25000,33.781616,14.322266,0.031006,3.84,1.70165
C++,bubblesort,25000,33.839172,14.403992,0.018860,3.84,1.7028
C++,bubblesort,25000,33.686462,14.278503,0.015198,3.912,1.69939
C++,cyclesort,25000,36.309692,15.327332,0.031250,3.652,1.8366
C++,cyclesort,25000,36.779541,15.605103,0.027527,3.84,1.85512
C++,cyclesort,25000,36.582764,15.512573,0.022217,3.84,1.84579
C++,cyclesort,25000,36.282654,15.459412,0.012695,3.84,1.82657
C++,cyclesort,25000,36.115051,15.356812,0.012451,3.84,1.82085
C++,heapsort,25000,0.173767,0.063721,0.006836,3.84,0.009377
C++,heapsort,25000,0.209412,0.074463,0.005554,3.84,0.010817
C++,heapsort,25000,0.191467,0.059631,0.004578,3.912,0.010754
C++,heapsort,25000,0.196472,0.059998,0.004761,3.916,0.01057
C++,heapsort,25000,0.213501,0.081604,0.004944,3.916,0.010735
C++,insertionsort,25000,1.782532,0.737976,0.010376,3.78,0.089705
