Language , Program , Input Size , Package , Core(s) , GPU , DRAM? , Memory (KB) , Time (sec)
C, bubblesort_25000.sh, 25000, 2.780945 , 1.101501 , 0.040405 , 0.000000 , 38240, 0.141132 
C, cyclesort_25000.sh, 25000, 3.001343 , 0.949097 , 0.167053 , 0.000000 , 38568, 0.160138 
C, heapsort_25000.sh, 25000, 2.275391 , 0.901794 , 0.036194 , 0.000000 , 37420, 0.114967 
C, insertionsort_25000.sh, 25000, 2.422607 , 0.913635 , 0.036804 , 0.000000 , 37280, 0.125171 
C, mergesort_25000.sh, 25000, 2.797119 , 1.064819 , 0.084106 , 0.000000 , 39364, 0.141575 
C, oddevensort_25000.sh, 25000, 3.044006 , 1.086487 , 0.050171 , 0.000000 , 38608, 0.163849 
C, quicksort_25000.sh, 25000, 3.124878 , 1.054871 , 0.139038 , 0.000000 , 38328, 0.166229 
C, selectionsort_25000.sh, 25000, 2.264648 , 0.897461 , 0.038147 , 0.000000 , 38180, 0.113881 
C++, bubblesort_25000.sh, 25000, 24.320435 , 6.153992 , 0.082031 , 0.000000 , 84240, 1.5636 
C++, cyclesort_25000.sh, 25000, 11.407898 , 4.709656 , 0.045410 , 0.000000 , 85528, 0.574828 
C++, heapsort_25000.sh, 25000, 12.755493 , 4.621399 , 0.146790 , 0.000000 , 85480, 0.689893 
C++, insertionsort_25000.sh, 25000, 10.660461 , 4.388000 , 0.059021 , 0.000000 , 84736, 0.535807 
C++, mergesort_25000.sh, 25000, 23.569275 , 6.615540 , 0.095154 , 0.000000 , 87348, 1.46129 
C++, oddevensort_25000.sh, 25000, 11.137512 , 4.549194 , 0.033081 , 0.000000 , 85372, 0.566911 
C++, quicksort_25000.sh, 25000, 11.740906 , 4.807556 , 0.098999 , 0.000000 , 84932, 0.58866 
C++, selectionsort_25000.sh, 25000, 11.275513 , 4.642700 , 0.043274 , 0.000000 , 85376, 0.569054 
C#, bubblesort_25000.sh, 25000, 41.890808 , 8.463196 , 0.046753 , 0.000000 , 62848, 2.89402 
C#, cyclesort_25000.sh, 25000, 12.917419 , 5.326172 , 0.070557 , 0.000000 , 61248, 0.651623 
C#, heapsort_25000.sh, 25000, 12.278625 , 5.053162 , 0.034729 , 0.000000 , 65424, 0.621579 
