Language,Algorithm,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
C,bubblesort,25000,2.780945,1.101501,0.040405,38.24,0.141132
C,cyclesort,25000,3.001343,0.949097,0.167053,38.568,0.160138
C,heapsort,25000,2.275391,0.901794,0.036194,37.42,0.114967
C,insertionsort,25000,2.422607,0.913635,0.036804,37.28,0.125171
C,mergesort,25000,2.797119,1.064819,0.084106,39.364,0.141575
C,oddevensort,25000,3.044006,1.086487,0.050171,38.608,0.163849
C,quicksort,25000,3.124878,1.054871,0.139038,38.328,0.166229
C,selectionsort,25000,2.264648,0.897461,0.038147,38.18,0.113881
C++,bubblesort,25000,24.320435,6.153992,0.082031,84.24,1.5636
C++,cyclesort,25000,11.407898,4.709656,0.045410,85.528,0.574828
C++,heapsort,25000,12.755493,4.621399,0.146790,85.48,0.689893
C++,insertionsort,25000,10.660461,4.388000,0.059021,84.736,0.535807
C++,mergesort,25000,23.569275,6.615540,0.095154,87.348,1.46129
C++,oddevensort,25000,11.137512,4.549194,0.033081,85.372,0.566911
C++,quicksort,25000,11.740906,4.807556,0.098999,84.932,0.58866
C++,selectionsort,25000,11.275513,4.642700,0.043274,85.376,0.569054
C#,bubblesort,25000,41.890808,8.463196,0.046753,62.848,2.89402
C#,cyclesort,25000,12.917419,5.326172,0.070557,61.248,0.651623
C#,heapsort,25000,12.278625,5.053162,0.034729,65.424,0.621579
C#,insertionsort,25000,13.002808,5.263733,0.109131,65.564,0.657997
C#,mergesort,25000,12.248230,5.075378,0.032532,69.364,0.617937
C#,oddevensort,25000,12.775146,5.306152,0.032410,65.628,0.642813
C#,quicksort,25000,12.232056,5.056946,0.020996,69.648,0.618241
C#,selectionsort,25000,12.458313,5.143250,0.034607,67.352,0.628654
Go,bubblesort,25000,25.415710,4.107056,0.088745,56.528,1.83355
Go,cyclesort,25000,4.014343,1.414368,0.075439,56.608,0.215939
Go,heapsort,25000,3.855957,1.378174,0.067322,54.896,0.205275
Go,insertionsort,25000,3.367554,1.125549,0.088196,56.716,0.183514
Go,mergesort,25000,3.706604,1.449890,0.023621,57.496,0.191177
Go,oddevensort,25000,3.885742,1.510437,0.021912,54.724,0.20042
Go,quicksort,25000,3.590942,1.329895,0.021057,56.596,0.192115
Go,selectionsort,25000,3.290771,1.189941,0.030334,56.22,0.176812
Haskell,bubblesort,25000,442.500122,135.634277,0.271057,603.664,26.3182
Haskell,cyclesort,25000,551.999817,225.429443,0.190918,628.836,27.7486
Haskell,heapsort,25000,285.634888,116.675293,0.136658,632.144,14.36
Haskell,insertionsort,25000,284.444275,116.046631,0.236816,598.512,14.3002
Haskell,mergesort,25000,285.763428,116.682373,0.121643,627.66,14.3619
Haskell,oddevensort,25000,264.770325,108.024292,0.157471,641.952,13.3039
Haskell,quicksort,25000,286.856323,117.104004,0.137939,592.22,14.4244
Haskell,selectionsort,25000,309.807556,126.510925,0.179871,669.724,15.568
Rust,bubblesort,25000,316.914734,100.609436,0.141907,1085.892,18.6329
Rust,cyclesort,25000,213.175232,88.137207,0.153625,1075.848,10.7215
Rust,heapsort,25000,221.420776,91.378723,0.132446,1076.192,11.1497
Rust,insertionsort,25000,213.891357,88.525146,0.129578,1081.448,10.741
Rust,mergesort,25000,225.003357,91.771912,0.101135,1104.524,11.4286
Rust,oddevensort,25000,217.969116,90.097351,0.145935,1083.324,10.9572
Rust,quicksort,25000,213.118774,88.264221,0.114136,1091.26,10.7034
Rust,selectionsort,25000,224.046143,92.801208,0.092529,1079.356,11.2524
Swift,bubblesort,25000,405.877075,147.112122,0.132202,142.752,22.3701
Swift,cyclesort,25000,326.050049,136.156433,0.171814,143.316,16.4074
Swift,heapsort,25000,344.656982,143.951233,0.169312,147.332,17.3385
Swift,insertionsort,25000,327.232605,136.897217,0.090210,144.408,16.4503
Swift,mergesort,25000,359.625427,150.153564,0.146484,145.296,18.0945
Swift,oddevensort,25000,327.365601,136.838745,0.168152,143.816,16.462
Swift,quicksort,25000,344.017944,143.820801,0.113281,145.26,17.3023
Swift,selectionsort,25000,339.379150,141.861267,0.163635,144.376,17.0686
