Language , Program , Input Size , Package , Core(s) , GPU , DRAM? , Time (sec)
C, bubblesort_25000, 25000, 38.421143 , 20.092102 , 0.024536 , 0.000000 ,  1.60323 
C, bubblesort_25000, 25000, 38.490662 , 20.160767 , 0.013855 , 0.000000 ,  1.60287 
C, bubblesort_25000, 25000, 38.593567 , 20.194214 , 0.006226 , 0.000000 ,  1.61523 
C, bubblesort_25000, 25000, 38.624390 , 20.334229 , 0.010315 , 0.000000 ,  1.60313 
C, bubblesort_25000, 25000, 38.296021 , 20.251770 , 0.017883 , 0.000000 ,  1.57982 
C, cyclesort_25000, 25000, 39.337646 , 20.661316 , 0.011353 , 0.000000 ,  1.63526 
C, cyclesort_25000, 25000, 39.004028 , 20.484375 , 0.012573 , 0.000000 ,  1.62281 
C, cyclesort_25000, 25000, 38.741394 , 20.385986 , 0.015503 , 0.000000 ,  1.60596 
C, cyclesort_25000, 25000, 39.105957 , 20.680237 , 0.013489 , 0.000000 ,  1.61469 
C, cyclesort_25000, 25000, 39.519287 , 20.741272 , 0.017029 , 0.000000 ,  1.64254 
C, heapsort_25000, 25000, 0.126404 , 0.070129 , 0.000000 , 0.000000 ,  0.005145 
C, heapsort_25000, 25000, 0.152283 , 0.083679 , 0.000000 , 0.000000 ,  0.006067 
C, heapsort_25000, 25000, 0.115662 , 0.065186 , 0.000000 , 0.000000 ,  0.005454 
C, heapsort_25000, 25000, 0.162415 , 0.088013 , 0.000000 , 0.000000 ,  0.005658 
C, heapsort_25000, 25000, 0.118896 , 0.052063 , 0.000000 , 0.000000 ,  0.006229 
C, insertionsort_25000, 25000, 1.690918 , 0.858948 , 0.009827 , 0.000000 ,  0.071926 
C, insertionsort_25000, 25000, 1.674744 , 0.896423 , 0.000000 , 0.000000 ,  0.067726 
C, insertionsort_25000, 25000, 1.835144 , 0.961487 , 0.002258 , 0.000000 ,  0.075724 
C, insertionsort_25000, 25000, 1.814636 , 0.974609 , 0.000000 , 0.000000 ,  0.07286 
C, insertionsort_25000, 25000, 1.426819 , 0.736084 , 0.000000 , 0.000000 ,  0.061118 
C, mergesort_25000, 25000, 0.225525 , 0.115173 , 0.008179 , 0.000000 ,  0.007678 
C, mergesort_25000, 25000, 0.130615 , 0.068176 , 0.000610 , 0.000000 ,  0.006565 
C, mergesort_25000, 25000, 0.175842 , 0.092773 , 0.000549 , 0.000000 ,  0.006504 
C, mergesort_25000, 25000, 0.139343 , 0.076843 , 0.000000 , 0.000000 ,  0.00662 
C, mergesort_25000, 25000, 0.128540 , 0.073425 , 0.000000 , 0.000000 ,  0.00653 
C, oddevensort_25000, 25000, 14.734497 , 7.775085 , 0.013367 , 0.000000 ,  0.607424 
C, oddevensort_25000, 25000, 14.541626 , 7.711609 , 0.008118 , 0.000000 ,  0.596018 
C, oddevensort_25000, 25000, 14.702454 , 7.763062 , 0.002380 , 0.000000 ,  0.60812 
C, oddevensort_25000, 25000, 14.521362 , 7.729919 , 0.001892 , 0.000000 ,  0.597368 
C, oddevensort_25000, 25000, 14.500854 , 7.690247 , 0.003906 , 0.000000 ,  0.596981 
C, quicksort_25000, 25000, 0.149170 , 0.078552 , 0.000000 , 0.000000 ,  0.006029 
C, quicksort_25000, 25000, 0.124146 , 0.066833 , 0.000000 , 0.000000 ,  0.004903 
C, quicksort_25000, 25000, 0.171692 , 0.079834 , 0.000000 , 0.000000 ,  0.006062 
C, quicksort_25000, 25000, 0.111023 , 0.056152 , 0.000000 , 0.000000 ,  0.005274 
C, quicksort_25000, 25000, 0.161865 , 0.090515 , 0.000000 , 0.000000 ,  0.005668 
C, selectionsort_25000, 25000, 5.293640 , 2.760925 , 0.011475 , 0.000000 ,  0.220083 
C, selectionsort_25000, 25000, 5.084534 , 2.684326 , 0.000000 , 0.000000 ,  0.209133 
C, selectionsort_25000, 25000, 5.321594 , 2.804199 , 0.000000 , 0.000000 ,  0.219514 
C, selectionsort_25000, 25000, 5.385620 , 2.899597 , 0.004761 , 0.000000 ,  0.216903 
C, selectionsort_25000, 25000, 5.107178 , 2.710083 , 0.000000 , 0.000000 ,  0.21087 
C++, bubblesort_25000, 25000, 39.140015 , 20.589355 , 0.015076 , 0.000000 ,  1.62453 
C++, bubblesort_25000, 25000, 39.058777 , 20.540955 , 0.012146 , 0.000000 ,  1.61986 
C++, bubblesort_25000, 25000, 38.875610 , 20.379944 , 0.010010 , 0.000000 ,  1.61918 
C++, bubblesort_25000, 25000, 39.004211 , 20.405457 , 0.018372 , 0.000000 ,  1.6266 
C++, bubblesort_25000, 25000, 38.997131 , 20.554260 , 0.012024 , 0.000000 ,  1.61573 
C++, cyclesort_25000, 25000, 42.621521 , 22.314087 , 0.015747 , 0.000000 ,  1.77838 
C++, cyclesort_25000, 25000, 42.587830 , 22.305664 , 0.014099 , 0.000000 ,  1.77582 
C++, cyclesort_25000, 25000, 42.427124 , 22.143555 , 0.013245 , 0.000000 ,  1.77704 
C++, cyclesort_25000, 25000, 42.601746 , 22.331421 , 0.015015 , 0.000000 ,  1.77604 
